,Herbivore...Insectivore.Rho,Herbivore...Insectivore.P,Herbivore...Insectivore.p.adj,Herbivore...Omnivore.Rho,Herbivore...Omnivore.P,Herbivore...Omnivore.p.adj,Insectivore...Omnivore.Rho,Insectivore...Omnivore.P,Insectivore...Omnivore.p.adj,Herbivore...Vertivore.Rho,Herbivore...Vertivore.P,Herbivore...Vertivore.p.adj,Insectivore...Vertivore.Rho,Insectivore...Vertivore.P,Insectivore...Vertivore.p.adj,Omnivore...Vertivore.Rho,Omnivore...Vertivore.P,Omnivore...Vertivore.p.adj
CYP51A1,-0.998026577638593,1,1,1.46010735020892,0.865563437132239,1,2.23040718212139,0.154322539229476,0.953459738606073,4.16503559101141,0.000186782398303816,0.0140505078510634,4.59818438965359,2.55713235456515e-05,0.0183918700396915,2.97658254594286,0.0174888361786638,0.544542698824169
USP28,-2.0746989319559,0.228086678636303,0.991153417952059,-0.595385371273917,1,1,1.46613696387214,0.855665864276875,1,-1.53259492927067,0.752254149937919,1,0.194553180168105,1,1,-1.04018261588477,1,1
SLC7A2,-0.0467347096079778,1,1,0.172347264799608,1,1,0.194142977874849,1,1,1.22977085047617,1,1,1.15848905844205,1,1,1.0680871444861,1,1
HSPB6,-0.507074273656332,1,1,-0.241049358830159,1,1,0.26433656934402,1,1,-0.272370917394375,1,1,0.0907155511378284,1,1,-0.102526064624609,1,1
PDK4,-0.873158628184391,1,1,2.91563383013252,0.0212980099476921,0.678980647574433,3.42289435219194,0.00371748918567874,0.112538882592116,1.18466738590345,1,1,1.76717888690845,0.463189646341769,1,-1.02471276193052,1,1
USH1C,-0.584133796260401,1,1,-0.543218288295199,1,1,0.0746978588633882,1,1,-1.3791283183508,1,1,-0.829815178366447,1,1,-0.929291688463652,1,1
RALA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BAIAP2L1,-0.822066786511707,1,1,1.42303841417539,0.928350118152719,1,2.11754099321812,0.205283760244238,1,1.52358881726007,0.765668750407673,1,2.07990404734352,0.225206008394232,1,0.452874770466738,1,1
CACNG3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TMEM132A,-0.681991526521466,1,1,0.71471778270183,1,1,1.28075940363345,1,1,-1.34463212588136,1,1,-0.720714730931454,1,1,-1.83088924193142,0.402702458395819,1
DVL2,-0.775649767793158,1,1,-2.70745413181344,0.0406808635450804,0.909990728433639,-1.70491486607567,0.529261820229966,1,-1.5338585652657,0.750386708362123,1,-0.7986595141413,1,1,0.67374905525734,1,1
RPAP3,1.34672423503586,1,1,-0.281883786556698,1,1,-1.56419807312007,0.706626357586025,1,-0.414194975804225,1,1,-1.44562004760326,0.889702803091907,1,-0.191874304638473,1,1
HOXA11,-1.64307947017536,0.602198951350423,1,-1.19863550186431,1,1,0.436171093519815,1,1,-1.6706453611526,0.56875048251017,1,-0.311690717691701,1,1,-0.678111030092146,1,1
TRAPPC6A,0.417218838982804,1,1,0.561492539550657,1,1,0.124120292887315,1,1,0.611600165577002,1,1,0.253052293025231,1,1,0.153058678716473,1,1
SPATA20,0.936936148058725,1,1,-0.424037649413264,1,1,-1.30370359641093,1,1,-0.481269879458855,1,1,-1.19561571074896,1,1,-0.146533019931325,1,1
CD79B,0.925967887582233,1,1,0.569820952696445,1,1,-0.388521116520455,1,1,1.23149705021548,1,1,0.438234721582732,1,1,0.781922515045084,1,1
RHBDD2,1.56812066384825,0.701117849620551,1,2.785911408106,0.032026474604296,0.813041846887212,0.988401312273156,1,1,0.764375146020683,1,1,-0.482396172119328,1,1,-1.31951287912314,1,1
RPUSD1,-1.25643658221511,1,1,1.40639373962642,0.957643429418294,1,2.48556060177182,0.0776085371940957,0.661929392612544,0.808949970030185,1,1,1.72283435778872,0.5095109019168,1,-0.25196334162041,1,1
TSR3,1.88132309575309,0.35956788678121,1,0.902134169103055,1,1,-1.06143140033984,1,1,0.316026970931308,1,1,-1.20566338531035,1,1,-0.369086725679944,1,1
NDUFAB1,1.52093514625812,0.769656678008469,1,1.06913701978039,1,1,-0.501942073468258,1,1,2.20454295973429,0.164917093157104,0.915159607928276,0.890847530401741,1,1,1.34516524838755,1,1
YBX2,-2.61962869752856,0.0528153306650391,0.40373257575679,-1.08685580773209,1,1,1.44729058574256,0.886893328281559,1,-1.90813613106661,0.338241743479676,1,0.326154636343774,1,1,-0.937017015800986,1,1
ITGA3,-3.01647698139003,0.0153438380128018,0.187244371904531,0.381389679876908,1,1,3.24269614706047,0.00710426484496031,0.162099577769072,-2.25166490352639,0.146060736891777,0.85332626774368,0.282598211550135,1,1,-2.48109033673965,0.0785887039367562,1
KRT33A,1.66561035585316,0.574746282977962,1,1.9861474345086,0.282101733498029,1,0.123549374670978,1,1,2.45489349161265,0.084555801427483,0.622990646224734,1.07846272399761,1,1,1.03644207822211,1,1
LRRC23,-0.50693151394178,1,1,-2.37690830629895,0.104750564401142,1,-1.64759787449111,0.596611301382513,1,-0.277453456634062,1,1,0.135966152687057,1,1,1.52965102462571,0.756618793935156,1
TFAP2D,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRY1,1.18479371967625,1,1,0.270614955711958,1,1,-0.896020002802883,1,1,0.373849425958055,1,1,-0.547160455993866,1,1,0.164695978529479,1,1
PGLYRP1,0.145494885478281,1,1,1.94338501242378,0.311817940579608,1,1.55323536534851,0.722201491775418,1,2.28605024114123,0.13350791703645,0.804670223032141,2.01151095235062,0.265629087874746,1,0.864754823678757,1,1
STARD3NL,-1.31945274957931,1,1,-0.4894726773155,1,1,0.812552912789853,1,1,-1.11807028504348,1,1,-0.087690909754071,1,1,-0.734349251641527,1,1
CD74,-0.752640037149376,1,1,-0.239349784021881,1,1,0.516041484623372,1,1,-2.22774975420638,0.155383242956777,0.885625849667608,-1.52347207660015,0.765843849227382,1,-2.01074140575144,0.266116668395149,1
RPS20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MGST1,2.48341533572712,0.0780775582810151,0.510856536446892,2.36481204515206,0.108235340207029,1,-0.26945546557242,1,1,3.90979482059159,0.000554247303532944,0.0278117982477129,1.72540242742087,0.506729844993867,1,2.02332789288746,0.258236117821908,1
CPA1,2.62680503825594,0.0517144208155083,0.399154995614846,2.75363169788584,0.0353628312149743,0.858771005630526,-0.0593573185969145,1,1,2.63000578971303,0.0512300484214128,0.453582690181477,0.483839653050736,1,1,0.55164229060662,1,1
SYPL1,0.568524068646649,1,1,2.57420999953472,0.0602815633154338,1,1.83443164968152,0.399539670619582,1,1.47271226579764,0.844971826674644,1,0.946442144128609,1,1,-0.58689993657772,1,1
RANBP9,1.95783012719359,0.301499694048787,1,1.39660796875983,0.975188955965301,1,-0.609210414370666,1,1,0.454458853787515,1,1,-1.00590612094328,1,1,-0.55217544784053,1,1
CD4,-1.62855862198105,0.620438938638582,1,-1.69495068619793,0.540508656431519,1,0.0519187668109878,1,1,0.63581548619358,1,1,1.86229141768835,0.375372147266365,1,1.90151567529893,0.343407007769309,1
PLEKHG6,-1.23093802732073,1,1,-0.371861088602203,1,1,0.859331844921028,1,1,-1.96944990229568,0.293408700575802,1,-0.859400281133367,1,1,-1.63809307235067,0.608413679497248,1
QPCTL,1.14610446540903,1,1,1.41433855320369,0.943575133910405,1,0.165377946184228,1,1,1.09209503970076,1,1,0.185015884324957,1,1,0.0613409986810357,1,1
PPP5C,0.505541807897779,1,1,1.59994616109711,0.65766316575388,1,1.00000594991472,1,1,1.79501595276212,0.4359069497133,1,1.35222799613104,1,1,0.60324889712166,1,1
UBR7,-1.17362916462022,1,1,-2.17291013674531,0.178722488376921,1,-0.771081386191569,1,1,-2.25379837305949,0.145253131312738,0.850312689062073,-1.16077787647107,1,1,-0.574966720252165,1,1
MAP4K5,0.518859370212813,1,1,-1.29254406419188,1,1,-1.6699966510687,0.569520157181749,1,0.878879224412311,1,1,0.454698194930225,1,1,1.77731357254751,0.453099970659896,1
ERCC1,1.77477092939484,0.455614309316946,1,0.959997575675122,1,1,-0.691531250853991,1,1,-0.110940526797284,1,1,-1.52291224048238,0.76668397789175,1,-0.877368253086737,1,1
GPRC5A,2.47395892530629,0.080175035293739,0.519092973901383,3.52813869730451,0.00251095690232404,0.27426097001562,0.793669548872113,1,1,3.56010956729917,0.00222420054453486,0.0646044712012587,1.4211991825934,0.931553173621526,1,0.815705238193574,1,1
HEBP1,-1.06308803707466,1,1,-0.867449294072243,1,1,0.226712507993804,1,1,0.114224802954362,1,1,0.902982589687519,1,1,0.745936441568474,1,1
COX15,0.859988604527141,1,1,1.03215807928161,1,1,0.0987339773186867,1,1,0.901628879680821,1,1,0.186636177289597,1,1,0.112521834999514,1,1
MS4A12,-0.139009205828768,1,1,1.62351131447784,0.626880879921237,1,1.44240306799083,0.895132193184204,1,0.920618693799413,1,1,0.927412588220453,1,1,-0.169048996064209,1,1
XYLT2,-0.0440892631296423,1,1,1.04130027825571,1,1,0.965878483775906,1,1,0.243753461394503,1,1,0.260467529933074,1,1,-0.540586185005134,1,1
FTSJ1,3.9218563709714,0.000527216205821045,0.0199588992203681,0.763725717017605,1,1,-3.10090765840666,0.0115757067063081,0.209340531305155,3.14166314080926,0.0100794714300685,0.173988955976863,-0.173199526799342,1,1,2.47994053152496,0.0788425778703648,1
SCTR,-1.21198296455441,1,1,-1.42914758644537,0.91777091196594,1,-0.114971334151646,1,1,1.1510621502999,1,1,2.00280982410035,0.271186229944618,1,2.18009286488477,0.175503471377689,1
RALBP1,4.51614354960082,3.77855892169015e-05,0.00337722677586566,1.38557983945372,0.995251426830341,1,-3.08835884021386,0.0120759170458683,0.216121714428721,1.7992376135113,0.431886611514741,1,-1.76418025527989,0.46620981536228,1,0.71738213151205,1,1
SYT13,0.522776919613094,1,1,1.63070686184006,0.617713128084783,1,0.9733451769483,1,1,0.475222814014026,1,1,0.0577999904084257,1,1,-0.719847041775412,1,1
SNAI2,-0.70804565725072,1,1,0.269240004776129,1,1,0.893356938109553,1,1,0.282146808162894,1,1,0.77691031535226,1,1,0.0736401748184967,1,1
SLC7A9,3.61369973617193,0.00181115171009133,0.0465262696954584,2.01994436813814,0.260334950365237,1,-1.67440896522878,0.564301512323064,1,4.09932757594293,0.000248611336893755,0.0160127689855852,1.08906439118574,1,1,2.51130169564034,0.07217210808842,0.971520380194845
RTF2,0.392091930264444,1,1,0.710612373777606,1,1,0.262299291734162,1,1,0.891673474452461,1,1,0.533816017245504,1,1,0.335574229935919,1,1
RB1CC1,0.224633380541759,1,1,1.79244162866092,0.438373509192623,1,1.41137213424434,0.948809490118786,1,0.495134843432728,1,1,0.285329810770018,1,1,-0.917442243791746,1,1
AKAP11,0.0354337108991386,1,1,-1.08087693430173,1,1,-0.988640660894816,1,1,-2.33852503352452,0.116160171637625,0.748819134620014,-2.18966710893825,0.171290328764606,1,-1.4509171054472,0.880817664966236,1
B4GALT7,0.261097783586804,1,1,1.05192993869121,1,1,0.663667638905778,1,1,0.573716280620469,1,1,0.333266345939117,1,1,-0.193132248604613,1,1
FAM13B,4.88660896438653,6.15525365519967e-06,0.000948725576140725,1.91101285776857,0.336017571415872,1,-2.95548931954299,0.0187304103265958,0.286069613734308,2.5198759152822,0.0704377265222766,0.558586201952638,-1.25999532021383,1,1,1.07348603858112,1,1
CHPF2,0.228191566256256,1,1,0.573444020069277,1,1,0.30034271637437,1,1,-0.907618096302761,1,1,-1.03090780029709,1,1,-1.30984053532644,1,1
GABARAPL2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MYOC,-1.98718233442618,0.281413168602905,1,-0.811970025253772,1,1,1.19664481560755,1,1,-3.76235232899799,0.00100993617469303,0.0403519899252501,-1.8968462699808,0.347089383136449,1,-3.03671121634252,0.0143504685646303,0.504915460191873
FAM136A,0.688008097145487,1,1,0.196845644507307,1,1,-0.45266050253652,1,1,1.64368365240086,0.601449386742836,1,1.09809347251512,1,1,1.43862371387582,0.90154298292394,1
NSMAF,0.0955698105308821,1,1,2.20490060567893,0.164766420058037,1,1.91593394829836,0.332241022043296,1,-1.30504554926073,1,1,-1.30115544538617,1,1,-3.00390830655938,0.015992138414579,0.529418933911066
OTC,1.50762793900166,0.789898667798009,1,1.8315880937849,0.402076872018094,1,0.233995905528469,1,1,0.481886537651098,1,1,-0.706216816882442,1,1,-0.917609879876725,1,1
TTC17,-0.0778606345006716,1,1,-0.474252159905825,1,1,-0.355385140515125,1,1,0.393226156385541,1,1,0.429053765174983,1,1,0.721377905885214,1,1
HOXC8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MRI1,1.66222805740573,0.578802338231854,1,0.358136218567323,1,1,-1.30266935228498,1,1,0.00689246880709972,1,1,-1.29226180632508,1,1,-0.263532244081298,1,1
TARBP1,2.56146897145121,0.0625383308262244,0.446217046353387,0.927863675303144,1,1,-1.64674702594755,0.597660323577019,1,-0.159945901553955,1,1,-2.17215467518352,0.179063988684658,1,-0.868930061064439,1,1
RTN4R,-0.799463835216777,1,1,1.38277924667711,1,1,2.05336760461229,0.240221632284171,1,0.816998326600142,1,1,1.40740193744407,0.955849422191244,1,-0.260940728454714,1,1
PSMA4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZPBP,-1.73685473448201,0.494476889821058,1,0.788371413887842,1,1,2.40011206154329,0.0983403203569927,0.742715269496187,1.74399830845119,0.486956308790549,1,3.00913244915962,0.015719692304113,0.363043169054011,1.09595812761919,1,1
LCP2,0.0382901905751812,1,1,1.40999285190135,0.951250761519635,1,1.25588880587687,1,1,0.34969828189204,1,1,0.30213209963441,1,1,-0.71973712864422,1,1
DCN,-1.7028926707162,0.531528935342665,1,-2.46030205855204,0.0832920747779976,1,-0.605275317539111,1,1,0.707435561102429,1,1,1.91993544815943,0.329196321945261,1,2.45361688679176,0.0848565406563579,1
TNFRSF17,-0.252342622816639,1,1,-0.161842980210603,1,1,0.101028096494101,1,1,-0.760003989166602,1,1,-0.532753998193747,1,1,-0.63663781321696,1,1
MRPS10,2.38229971377105,0.10322932922826,0.604447142739248,1.77694380105337,0.453464920593369,1,-0.670352271534541,1,1,2.83507955362162,0.0274885653389269,0.315748633250341,0.692947430428533,1,1,1.31368729744662,1,1
GRN,2.6915309997824,0.0426749327476684,0.357186023882413,0.591749210863962,1,1,-2.05870176656469,0.237136901411735,1,2.69642667887138,0.0420526953745262,0.401490011376173,0.446731441984196,1,1,2.18219409123538,0.174571267259522,1
THAP3,0.241144877834276,1,1,0.453426346722647,1,1,0.16323841737318,1,1,-0.458277143869833,1,1,-0.613043396944843,1,1,-0.794607693677606,1,1
VAMP3,-0.519867309920916,1,1,1.23738362897793,1,1,1.6275778162414,0.621686616681082,1,-0.112607712165446,1,1,0.294874023397196,1,1,-1.04669450258816,1,1
RCN1,0.107792826138281,1,1,0.758340537395362,1,1,0.595170363198392,1,1,1.50785109195845,0.789555854376985,1,1.36139661457218,1,1,0.936142279642982,1,1
RFC2,2.45287827620608,0.0850309713020934,0.53723981132124,0.624673967176143,1,1,-1.77900484785803,0.451433803038459,1,1.05751812073663,1,1,-0.989987484760777,1,1,0.527085453500854,1,1
PPP1R3F,0.968640095435445,1,1,-0.163112914553187,1,1,-1.10971750112314,1,1,-1.50543949694041,0.793266725913319,1,-2.19167631166682,0.170417324226293,1,-1.37135146311376,1,1
NFE2L3,5.01925577711576,3.1123227292351e-06,0.0005950839851278,0.548064864100277,1,1,-4.37457001394705,7.30032410616765e-05,0.0112521832269043,0.542199249107021,1,1,-3.41307555628189,0.00385404784111386,0.206353637121501,0.114896367608836,1,1
CBLN4,-2.69432239195991,0.0423191434161243,0.355857983923326,-1.66975986425836,0.569801305295297,1,0.948975505760885,1,1,-0.895645013390798,1,1,1.15720961799372,1,1,0.397596581729358,1,1
CLDN11,-1.41757043492322,0.937897301553336,1,0.12233554836824,1,1,1.42532717504412,0.924375889854064,1,1.5953067652235,0.663861921024224,1,2.49999007487632,0.0745180715818179,0.771962244973785,1.4332510435867,0.910716643173521,1
FAM168A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RELT,-0.0805989444031933,1,1,-0.254071761849931,1,1,-0.14934608270847,1,1,0.496949647645052,1,1,0.526520868447918,1,1,0.679662258865713,1,1
PKP2,-1.29748336276237,1,1,-0.628005379399283,1,1,0.698939866918956,1,1,0.163898338678608,1,1,1.19503614473452,1,1,0.649170603602672,1,1
YIPF1,1.83235615744793,0.401390252804539,1,0.390500868827083,1,1,-1.44825890780653,0.885267931816739,1,0.290843219371196,1,1,-1.15322387254854,1,1,-0.00858542928456841,1,1
ADCK2,1.29608344625941,1,1,1.26987696097031,1,1,-0.121411948172855,1,1,1.11834774024776,1,1,-0.018763807615652,1,1,0.0875756751044108,1,1
INPP4A,-0.746264015729694,1,1,1.48095802466714,0.831706555488365,1,2.03997204486448,0.248118660887628,1,0.619685221518971,1,1,1.14546938455542,1,1,-0.489767666845569,1,1
SLC2A3,0.430900894678437,1,1,1.0465523626487,1,1,0.538277888818168,1,1,0.879401596320142,1,1,0.497098307142559,1,1,0.0667636122686046,1,1
STYK1,1.0383397227838,1,1,2.04766407058742,0.243557560102786,1,0.840238457688716,1,1,1.30479674178817,1,1,0.421803115356748,1,1,-0.261700953830565,1,1
GNA11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CREB3L3,3.27515842334613,0.00633616408575623,0.106936043033908,1.75854155953689,0.471932440076401,1,-1.35943310207032,1,1,1.17794821225197,1,1,-1.53626623982538,0.746838575456582,1,-0.327999697075316,1,1
HDAC7,-0.572087524223717,1,1,-1.58795114040461,0.673784327830679,1,-0.877576034522643,1,1,-0.926733269192182,1,1,-0.416552466529193,1,1,0.309679733857961,1,1
MRPS35,2.80160616575745,0.030509344245909,0.28838776272494,-0.827783507293328,1,1,-3.47252975734188,0.0030934671113532,0.10078002024602,1.86481821917212,0.37324133178609,1,-0.45304617049783,1,1,2.46220070223417,0.0828524222278293,1
APPBP2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CA11,-1.08320562146583,1,1,-0.383474807760335,1,1,0.666952619290936,1,1,-1.64350995755541,0.601664800986228,1,-0.675979567808148,1,1,-1.26498258871801,1,1
ISOC2,1.33392487429207,1,1,1.08914316562619,1,1,-0.318323359082408,1,1,1.48742323463028,0.821418384500721,1,0.34068250473858,1,1,0.628136244166395,1,1
CD22,2.25966557422889,0.143052086628161,0.743309861891423,0.653661134728644,1,1,-1.57690658173598,0.688902131337307,1,3.75717112062271,0.00103106994566216,0.0407677498934065,1.70024602500433,0.534507950066035,1,3.13351149009601,0.010363689345113,0.427771314706672
GSC2,0.899446055630368,1,1,0.934914410726995,1,1,-0.0348435149987744,1,1,0.863327651409929,1,1,0.134257994583429,1,1,0.168411027809581,1,1
KCNQ1,-1.67814755110613,0.559909786817632,1,-0.21347830656727,1,1,1.43019076607578,0.915973649647206,1,-0.276128851168522,1,1,1.14811656877167,1,1,-0.0979747862436486,1,1
TRIB2,-2.01738762019346,0.261930469042617,1,-1.04740655816341,1,1,0.888019864605132,1,1,-0.934970737837418,1,1,0.561683014372033,1,1,-0.133022448086674,1,1
OTUD5,-1.15090506639942,1,1,-0.430588269629052,1,1,0.710221384237517,1,1,-0.392050765877759,1,1,0.483690451463495,1,1,-0.0646481762714631,1,1
GPKOW,2.09262678747155,0.218294900306837,0.964135809688532,0.406944847614523,1,1,-1.66121524069795,0.580021354311543,1,0.335355189500131,1,1,-1.3629914397878,1,1,0.012688302348963,1,1
AQR,-1.51767473418003,0.774578498777679,1,-0.0819272286663944,1,1,1.40335327695101,0.963069110324286,1,0.707532326331973,1,1,1.84435893232518,0.390785089022176,1,0.755238457644189,1,1
LMCD1,-0.395680614127471,1,1,-0.74563415765021,1,1,-0.287070383952778,1,1,0.376345780082778,1,1,0.647840115197604,1,1,0.905935331910851,1,1
PSMC4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FNDC8,-0.508116284433867,1,1,0.526454004160846,1,1,0.989037742654387,1,1,1.37423528865873,1,1,1.71489090785053,0.518191379617276,1,0.950270970693773,1,1
ACAP1,-1.12964192348923,1,1,-0.731638691466182,1,1,0.447603159692124,1,1,-3.29914193623205,0.00581885173005468,0.124726909607059,-2.13944650881334,0.194397142160482,1,-2.65677066235179,0.047335855424463,0.820850471103432
DERL2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NOX3,2.45819977667641,0.0837812839484664,0.532176742658362,1.09055483295343,1,1,-1.39754566059094,0.973497275460874,1,1.27510284778038,1,1,-0.720849801159753,1,1,0.425703728255697,1,1
ANO8,1.55232095365021,0.723512680024272,1,2.45585238014593,0.0843305279728902,1,0.750515474505674,1,1,2.88783140074393,0.0232744640747817,0.287974874716461,1.50739050326687,0.790263549461051,1,0.922161706559587,1,1
ICAM3,2.59734994646334,0.0563676944358929,0.417649198334843,2.06380123506584,0.234219395589752,1,-0.628220717724686,1,1,0.912143439138259,1,1,-1.35646310294154,1,1,-0.835180037309293,1,1
CTTNBP2,-0.480248382346023,1,1,-2.1601345955582,0.184573509243208,1,-1.44940106704423,0.883353665261923,1,0.335365790679249,1,1,0.68816050955938,1,1,1.968052190634,0.294372197851304,1
ACTL6B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KIF22,0.262469897926977,1,1,-0.62759962902579,1,1,-0.817758717626946,1,1,0.96750976062243,1,1,0.724756935891488,1,1,1.38358580815692,0.998911897866119,1
PRSS22,0.891611524010162,1,1,0.689195198951534,1,1,-0.263658518121794,1,1,-0.0724431575239562,1,1,-0.800702966082394,1,1,-0.617167293979825,1,1
YTHDC2,-2.22558322948337,0.156252663293834,0.782752637494146,1.16935247683234,1,1,3.15148413949294,0.00974657908615232,0.194224376116531,-0.264498383949291,1,1,1.49042770476534,0.816670874492534,1,-1.15157070740373,1,1
TMEM161A,1.4831527294881,0.828203022635596,1,0.76492803556537,1,1,-0.761194703522886,1,1,0.938039140385819,1,1,-0.27808122682638,1,1,0.348391371762074,1,1
FOXJ2,2.01854466406934,0.261207404664566,1,-0.0176989769013409,1,1,-1.92954325086263,0.321980736820638,1,-0.260774103063874,1,1,-1.78274827980814,0.44776373008177,1,-0.238472024565095,1,1
GOLGA5,0.740060195073182,1,1,-0.191490031157222,1,1,-0.888412495490269,1,1,-2.08934148075968,0.220061969451243,1,-2.54221273555004,0.0660918639444725,0.733342958066183,-1.8936465341652,0.349631654728127,1
PPP2R5B,-1.60663119304318,0.648811773713791,1,-0.990457867310309,1,1,0.543433839415582,1,1,-0.575184543892467,1,1,0.576968152077546,1,1,0.157475676679193,1,1
PYGM,-1.9741683694978,0.2901756079028,1,0.5577608530908,1,1,2.42743376674526,0.0912363784572905,0.712577816234423,-1.11516707360073,1,1,0.426781078237226,1,1,-1.49959019583114,0.802323533216339,1
BCL3,1.6300268571232,0.618574925163115,1,-0.192845140896889,1,1,-1.72907239787911,0.50277683108721,1,0.855105036066291,1,1,-0.435908103440068,1,1,0.973933036621193,1,1
PRLH,-1.35777202326583,1,1,0.800543684326903,1,1,2.04317232266312,0.246212295299634,1,-1.20267520919318,1,1,-0.0486871013690753,1,1,-1.79641765740884,0.434568706154121,1
FSTL3,0.134391498717003,1,1,-0.37828551452523,1,1,-0.465301647021586,1,1,0.569805519885284,1,1,0.43356039570188,1,1,0.824049479552417,1,1
EPHA8,0.376718386764804,1,1,1.03103026509952,1,1,0.570800665220037,1,1,1.08089329820208,1,1,0.712350827821582,1,1,0.25038750813218,1,1
TRIP13,-0.492559561926361,1,1,1.21960916755474,1,1,1.59031221734809,0.670586676531161,1,-0.780878823161021,1,1,-0.347483023588135,1,1,-1.70379291050685,0.530518697558975,1
VASH1,-0.7024178121621,1,1,0.514874229106202,1,1,1.15713702042876,1,1,1.00855482186244,1,1,1.48984591814775,0.81758852629583,1,0.610943145799309,1,1
KRT14,-1.64502746913855,0.599784878855496,1,-1.16034986297165,1,1,0.481702026348192,1,1,0.382628044769649,1,1,1.65552667614995,0.586906259067797,1,1.26883035976231,1,1
KRT20,-4.50381783385339,4.0046054539756e-05,0.00353740148434511,-2.56628957051245,0.061675784774373,1,2.25470229423962,0.144912129382213,0.923585533467647,-3.89690367192793,0.000584582093081198,0.0287606773091154,-0.0803106444631906,1,1,-2.00031914624033,0.27279487719049,1
HSD17B10,1.27952977823133,1,1,-1.30163167281208,1,1,-2.38121552645787,0.103533676572886,0.763238743110511,0.700870772250312,1,1,-0.288930457110403,1,1,1.6158115453701,0.636810387575374,1
FGF4,0.345671839324105,1,1,0.0885297878512092,1,1,-0.262137673453452,1,1,0.0966644741197372,1,1,-0.169595525866607,1,1,0.0329319945168996,1,1
ST6GAL1,1.98885838751277,0.280301015731732,1,2.66573602276324,0.0460919921030541,0.956818556149676,0.435271930463719,1,1,1.59318373189006,0.666713877762503,1,-0.0425023464696779,1,1,-0.406976534510336,1,1
